PRE2,106,G10,SlapSwitch,Ba,E.BASS
PRE2,107,G11,Mega Fingr,Ba,E.BASS
PRE2,108,G12,Mega Slap,Ba,E.BASS
PRE2,109,G13,Chilli,Ba,E.BASS
PRE2,110,G14,PickOpen,Ba,E.BASS
PRE2,111,G15,PickPull,Ba,E.BASS
PRE2,112,G16,PickMuteDr,Ba,E.BASS
PRE2,113,H01,New Pick,Ba,E.BASS
PRE2,114,H02,Mega Pick,Ba,E.BASS
PRE2,115,H03,FretlesDry,Ba,E.BASS
PRE2,116,H04,FretlsSolo,Ba,E.BASS
PRE2,117,H05,Mega Frtls,Ba,E.BASS
PRE2,118,H06,Violin 1,St,SOLO
PRE2,119,H07,Violin 2,St,SOLO
PRE2,120,H08,Fiddler,St,SOLO
PRE2,121,H09,Viola 1,St,SOLO
PRE2,122,H10,Viola 2,St,SOLO
PRE2,123,H11,Cello 1,St,SOLO
PRE2,124,H12,Cello 2,St,SOLO
PRE2,125,H13,Solo 1,St,SOLO
PRE2,126,H14,Solo 2,St,SOLO
PRE2,127,H15,SoloSpicat,St,SOLO
PRE2,128,H16,ContraBass,St,SOLO
PRE3,1,A01,2 Violins,St,ENSEM.
PRE3,2,A02,2 Violas,St,ENSEM.
PRE3,3,A03,2 Cellos,St,ENSEM.
PRE3,4,A04,Cello Duet,St,ENSEM.
PRE3,5,A05,2 Solos,St,ENSEM.
PRE3,6,A06,CelloEnsem,St,ENSEM.
PRE3,7,A07,ViolaEnsem,St,ENSEM.
PRE3,8,A08,ViolnEnsem,St,ENSEM.
PRE3,9,A09,CB. Sect,St,ENSEM.
PRE3,10,A10,SmallSect1,St,ENSEM.
PRE3,11,A11,SmallSect2,St,ENSEM.
PRE3,12,A12,MediumEns,St,ENSEM.
PRE3,13,A13,Violin Mix,St,ENSEM.
PRE3,14,A14,SpicaLines,St,ENSEM.
PRE3,15,A15,Hard Bow,St,ENSEM.
PRE3,16,A16,BackGround,St,ENSEM.
PRE3,17,B01,Hophead,St,ENSEM.
PRE3,18,B02,HoleString,St,ENSEM.
PRE3,19,B03,Ens Mix,St,ENSEM.
PRE3,20,B04,Hard Ens,St,ENSEM.
PRE3,21,B05,VeloString,St,ENSEM.
PRE3,22,B06,BigStrings,St,ENSEM.
PRE3,23,B07,Lush,St,ENSEM.
PRE3,24,B08,MutedSect,St,ENSEM.
PRE3,25,B09,BigSymphny,St,ENSEM.
PRE3,26,B10,3 8ve Lush,St,ENSEM.
PRE3,27,B11,3 8ve Hard,St,ENSEM.
PRE3,28,B12,BeautyHarp,Gt,PLUCK
PRE3,29,B13,StereoHarp,Gt,PLUCK
PRE3,30,B14,PizzEns,St,ENSEM.
PRE3,31,B15,PizzSect,St,ENSEM.
PRE3,32,B16,Oct Pizz,St,ENSEM.
PRE3,33,C01,OrchstrlPl,St,ENSEM.
PRE3,34,C02,PWMStrings,St,SYNTH
PRE3,35,C03,Lightpad,St,SYNTH
PRE3,36,C04,Noble Pad,St,SYNTH
PRE3,37,C05,Romantic,St,SYNTH
PRE3,38,C06,Stringy,St,SYNTH
PRE3,39,C07,MournStrgs,St,SYNTH
PRE3,40,C08,JP Strings,St,SYNTH
PRE3,41,C09,3Osc Vintg,St,SYNTH
PRE3,42,C10,Superstrgs,St,SYNTH
PRE3,43,C11,VP Soft,St,SYNTH
PRE3,44,C12,PWM Simple,St,SYNTH
PRE3,45,C13,DblChorus,St,SYNTH
PRE3,46,C14,Old String,St,ENSEM.
PRE3,47,C15,PhaseStrgs,St,SYNTH
PRE3,48,C16,Oct String,St,SYNTH
PRE3,49,D01,3 Octave,St,SYNTH
PRE3,50,D02,StrMachine,St,SYNTH
PRE3,51,D03,SS-40,St,SYNTH
PRE3,52,D04,TapeStrngs,St,SYNTH
PRE3,53,D05,SlowSuckr,St,SYNTH
PRE3,54,D06,TrpRomantc,Br,SOLO
PRE3,55,D07,PiccoloTpt,Br,SOLO
PRE3,56,D08,DynoTrumpt,Br,SOLO
PRE3,57,D09,SoftJazzTp,Br,SOLO
PRE3,58,D10,BaroqTrpt,Br,SOLO
PRE3,59,D11,Phase Mute,Br,SOLO
PRE3,60,D12,Legend,Br,SOLO
PRE3,61,D13,2 Trumpets,Br,SECTION
PRE3,62,D14,Fluegel,Br,SOLO
PRE3,63,D15,JazyFlugel,Br,SOLO
PRE3,64,D16,Trombone,Br,SOLO
PRE3,65,E01,BlownBone,Br,SOLO
PRE3,66,E02,BoneSectn,Br,SECTION
PRE3,67,E03,FrenchHorn,Br,SOLO
PRE3,68,E04,FrHornSect,Br,SECTION
PRE3,69,E05,Big French,Br,SECTION
PRE3,70,E06,MovieHorns,Br,SECTION
PRE3,71,E07,Symphonic,Br,SECTION
PRE3,72,E08,Symphony,Br,SECTION
PRE3,73,E09,SymphoBrs,Br,SECTION
PRE3,74,E10,SlowAttack,Br,SECTION
PRE3,75,E11,SoftVeloBr,Br,SECTION
PRE3,76,E12,Soft Brass,Br,SECTION
PRE3,77,E13,Velo Brass,Br,SECTION
PRE3,78,E14,SmlBrSect,Br,SECTION
PRE3,79,E15,Fanfare,Br,SECTION
PRE3,80,E16,Big&Brite,Br,SECTION
PRE3,81,F01,PowerSect,Br,SECTION
PRE3,82,F02,VeloFalls,Br,SECTION
PRE3,83,F03,StabDance,Br,SECTION
PRE3,84,F04,Mono Sect,Br,SECTION
PRE3,85,F05,Sforzando,Br,SECTION
PRE3,86,F06,Big Band 1,Br,SECTION
PRE3,87,F07,Big Band 2,Br,SECTION
PRE3,88,F08,SaxBigBand,Br,SECTION
PRE3,89,F09,Hybrid,Br,SECTION
PRE3,90,F10,HybridSect,Br,SECTION
PRE3,91,F11,VeloSynBr,Br,SECTION
PRE3,92,F12,CS-90,Br,SYNTH
PRE3,93,F13,FM Brass,Br,SYNTH
PRE3,94,F14,Thinth,Br,SYNTH
PRE3,95,F15,QuietBrass,Br,SYNTH
PRE3,96,F16,Big Syn,Br,SYNTH
PRE3,97,G01,ObStuff,Br,SYNTH
PRE3,98,G02,OberBrass,Br,SYNTH
PRE3,99,G03,OberHorns,Br,SYNTH
PRE3,100,G04,ObSoft,Br,SYNTH
PRE3,101,G05,T Brass,Br,SYNTH
PRE3,102,G06,BigSquish,Br,SYNTH
PRE3,103,G07,Slow PWM,Br,SYNTH
PRE3,104,G08,Soft 5th,Br,SYNTH
PRE3,105,G09,Timeless,Br,SYNTH
PRE3,106,G10,After 1984,Br,SYNTH
PRE3,107,G11,Prophy,Br,SYNTH
PRE3,108,G12,Kustom,Br,SYNTH
PRE3,109,G13,Soprano,Rp,SAX/RD
PRE3,110,G14,SoprnoSoft,Rp,SAX/RD
PRE3,111,G15,Alto Vib,Rp,SAX/RD
PRE3,112,G16,Velo Alto,Rp,SAX/RD
PRE3,113,H01,Tenor Soft,Rp,SAX/RD
PRE3,114,H02,TenorSax1,Rp,SAX/RD
PRE3,115,H03,Hip Bari,Rp,SAX/RD
PRE3,116,H04,4 Brothers,Rp,SAX/RD
PRE3,117,H05,Sweet Oboe,Rp,SAX/RD
PRE3,118,H06,SmoothOboe,Rp,SAX/RD
PRE3,119,H07,BassoonVib,Rp,SAX/RD
PRE3,120,H08,Clarinet 1,Rp,SAX/RD
PRE3,121,H09,WW Trio,Rp,SAX/RD
PRE3,122,H10,DblRdQuart,Rp,SAX/RD
PRE3,123,H11,C Flute,Rp,PIPE
PRE3,124,H12,SweetFlute,Rp,PIPE
PRE3,125,H13,TapeFlute,Rp,PIPE
PRE3,126,H14,IrishPipe,Rp,PIPE
PRE3,127,H15,BluzDistrt,Rp,OTHER
PRE3,128,H16,Campfire,Rp,OTHER
PRE4,1,A01,TootsyHarp,Rp,OTHER
PRE4,2,A02,WoodyHarp,Rp,OTHER
PRE4,3,A03,Santur,Gt,PLUCK
PRE4,4,A04,Baglama,Gt,PLUCK
PRE4,5,A05,Kotoun,Gt,PLUCK
PRE4,6,A06,Kanun,Gt,PLUCK
PRE4,7,A07,Bazouk,Gt,PLUCK
PRE4,8,A08,Bouzuki,Gt,PLUCK
PRE4,9,A09,Oud,Gt,PLUCK
PRE4,10,A10,SazFeeze,Gt,PLUCK
PRE4,11,A11,IndianFlai,Pd,BRIGHT
PRE4,12,A12,Tamburax,Pd,BRIGHT
PRE4,13,A13,WhereAmI?,Gt,PLUCK
PRE4,14,A14,Sakura,Gt,PLUCK
PRE4,15,A15,Nomad,Gt,PLUCK
PRE4,16,A16,Ney,Rp,PIPE
PRE4,17,B01,Kawala,Rp,PIPE
PRE4,18,B02,Shukran,Co,SPLIT
PRE4,19,B03,Zurna,Rp,OTHER
PRE4,20,B04,Pungi,Rp,OTHER
PRE4,21,B05,Shehnai 1,Rp,OTHER
PRE4,22,B06,Digidoo,Rp,PIPE
PRE4,23,B07,Gagaku,Co,SPLIT
PRE4,24,B08,Kodo,Cp,PERC.
PRE4,25,B09,Djerimbe,Cp,PERC.
